id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1iOndiAISlYSU9sSPuKJQt,0.76,0.797,5.0,-3.525,1.0,0.184,0.163,0.0,0.0462,0.455,94.001,4.0
3nXqXv1v1vlo8MidNcSv0A,0.72,0.704,0.0,-7.11,0.0,0.0426,0.383,0.0,0.368,0.407,130.073,4.0
2gzaFkzQVbUAVCPdIs1weN,0.752,0.823,5.0,-3.395,0.0,0.0404,0.221,0.0,0.108,0.881,99.996,4.0
49ZOyBkFsOaHVnGAe0hm5O,0.829,0.856,11.0,-4.136,1.0,0.0947,0.261,0.0,0.0795,0.486,105.016,4.0
6SPwsGI1IMrflIj83XglJX,0.779,0.715,5.0,-7.067,0.0,0.0909,0.0977,2.61e-05,0.0787,0.587,98.009,4.0
5CVRuH953mykT6vjoxGDiy,0.807,0.802,0.0,-3.818,1.0,0.254,0.146,0.0,0.0642,0.491,109.924,4.0
0WmUOGFqrUYcnwXtS0pPMj,0.811,0.855,0.0,-4.581,1.0,0.056,0.214,0.000542,0.28,0.885,107.022,4.0
5C6H9zNllJdgvxaIFfBsiQ,0.701,0.911,11.0,-6.126,1.0,0.148,0.19,0.0,0.164,0.34,119.994,4.0
2QwITDRGW2A5e4FOgqylNG,0.794,0.797,5.0,-3.375,0.0,0.0434,0.0685,0.0,0.0931,0.933,95.973,4.0
2MUTAggxgqk08Z9fVW4Llz,0.834,0.617,1.0,-9.223,1.0,0.269,0.108,0.000765,0.0704,0.708,99.95,4.0
2iqjEFHuW1Hd92HqsWpySe,0.729,0.785,7.0,-6.34,0.0,0.0868,0.421,1.95e-05,0.247,0.689,140.006,4.0
15UPu2O9zpwHXORgkB00PE,0.713,0.734,8.0,-4.678,0.0,0.376,0.261,1.48e-06,0.0809,0.572,137.169,4.0
42sBnfT72fCKM5OjlI3pES,0.797,0.63,5.0,-9.09,0.0,0.099,0.185,0.0,0.314,0.851,94.025,4.0
